attendance,internal_marks,assignment_score,previous_gpa,study_hours,backlogs,class_participation,risk_level
80.0,62.6,64.3,7.63,5.4,0,92.9,LOW
84.9,90.6,73.5,7.16,0.5,0,69.8,LOW
100.0,81.7,79.7,7.58,6.7,0,71.0,LOW
72.3,82.4,66.8,7.48,9.0,3,64.3,MEDIUM
63.0,87.3,56.9,8.93,4.1,0,30.2,MEDIUM
54.3,66.6,83.2,8.94,2.7,1,65.4,MEDIUM
64.0,68.6,80.8,7.82,9.6,0,89.2,LOW
74.5,53.9,56.3,8.27,1.4,2,53.0,HIGH
100.0,59.3,90.3,7.77,4.0,1,73.2,MEDIUM
67.2,76.1,87.6,6.31,4.4,3,82.0,HIGH
78.4,86.7,72.0,8.13,6.7,3,46.8,MEDIUM
74.8,62.5,71.2,4.91,4.7,0,56.0,MEDIUM
92.8,56.9,78.3,8.58,3.0,0,44.6,LOW
100.0,65.0,57.1,5.21,2.1,4,48.6,HIGH
67.0,75.8,70.5,7.43,3.3,1,39.2,MEDIUM
67.7,39.0,37.7,5.73,2.0,0,47.0,HIGH
90.7,23.7,83.1,7.83,4.1,2,93.4,MEDIUM
85.2,55.1,46.6,6.95,2.9,0,46.7,MEDIUM
100.0,43.0,92.6,4.61,1.0,0,67.5,MEDIUM
83.8,55.9,65.0,7.63,6.5,0,54.9,MEDIUM
69.6,62.3,66.8,6.13,3.0,0,88.6,MEDIUM
83.9,56.8,60.6,8.32,1.5,4,91.2,HIGH
91.6,91.1,65.7,7.0,3.7,3,82.3,MEDIUM
87.3,70.9,91.3,7.59,4.1,1,71.1,MEDIUM
82.6,70.4,32.7,5.56,0.5,3,60.4,HIGH
91.0,76.2,89.2,6.12,4.7,1,41.2,MEDIUM
92.5,44.5,75.1,6.31,1.9,1,100.0,MEDIUM
95.7,83.7,51.9,8.29,7.4,0,49.8,LOW
84.7,63.6,53.9,9.52,5.0,0,78.3,LOW
72.5,77.1,95.1,5.79,3.2,2,86.2,MEDIUM
77.2,45.7,55.8,8.62,2.5,4,53.9,HIGH
93.1,37.0,52.7,3.75,3.8,1,85.8,HIGH
62.7,79.7,87.1,5.21,5.2,1,80.3,MEDIUM
80.5,71.8,75.1,5.56,3.9,0,99.6,MEDIUM
69.1,48.8,55.9,4.97,3.6,2,55.6,HIGH
75.4,49.3,73.2,4.62,4.1,1,39.3,MEDIUM
94.2,85.3,54.6,7.62,2.8,3,54.9,HIGH
77.9,43.6,86.5,6.68,3.3,3,69.2,HIGH
75.7,94.6,85.9,7.57,0.0,1,66.2,MEDIUM
54.6,48.8,78.0,8.04,5.9,1,57.1,MEDIUM
86.2,76.5,75.4,7.4,4.6,1,26.8,MEDIUM
84.7,59.1,96.4,7.99,2.5,2,74.4,MEDIUM
100.0,75.9,70.0,6.9,7.8,3,100.0,MEDIUM
70.4,55.2,52.3,5.22,4.2,0,74.3,MEDIUM
78.3,62.1,76.7,8.59,1.9,1,77.2,MEDIUM
78.7,65.7,100.0,6.12,5.7,1,76.4,MEDIUM
98.7,47.0,54.8,5.6,4.8,4,72.9,HIGH
73.6,78.3,64.6,6.73,,0,83.6,MEDIUM
79.2,55.8,76.2,5.63,3.1,0,72.9,MEDIUM
84.1,60.9,69.2,6.37,4.9,0,58.7,MEDIUM
77.8,47.1,55.3,7.52,3.5,3,49.1,HIGH
68.3,18.9,86.8,7.52,5.1,0,60.0,MEDIUM
77.9,61.6,100.0,5.65,0.2,4,71.3,HIGH
91.1,100.0,72.9,6.27,3.1,0,,LOW
59.6,79.1,56.4,8.61,7.4,1,71.3,MEDIUM
77.0,64.7,46.8,7.74,2.5,0,73.8,MEDIUM
64.5,60.3,73.9,10.0,2.8,3,81.7,HIGH
92.9,65.4,86.6,8.77,3.1,0,90.7,LOW
52.2,74.8,77.1,8.72,1.6,0,66.6,MEDIUM
66.6,43.7,70.0,4.92,0.0,0,38.8,MEDIUM
80.7,85.1,61.2,8.15,3.5,0,58.1,MEDIUM
98.5,77.9,53.6,6.92,4.3,0,65.9,MEDIUM
74.0,77.9,82.5,6.17,3.9,0,28.3,MEDIUM
66.7,72.9,83.7,7.25,3.7,1,92.8,MEDIUM
100.0,65.4,46.8,8.42,4.1,3,67.8,MEDIUM
53.3,77.1,93.8,7.75,6.0,3,72.6,HIGH
42.0,75.7,78.6,5.68,3.6,0,92.3,MEDIUM
81.6,58.6,91.0,8.11,2.9,2,52.4,MEDIUM
67.5,54.7,49.9,6.04,3.4,0,76.5,MEDIUM
59.7,66.8,49.5,7.33,5.2,0,62.8,MEDIUM
85.6,92.9,67.8,6.54,6.8,1,61.3,MEDIUM
78.7,42.7,77.5,6.67,2.7,3,49.6,HIGH
66.5,38.6,96.9,8.15,4.2,0,98.3,MEDIUM
55.8,68.0,80.6,5.44,4.7,3,57.5,HIGH
88.1,65.9,66.4,9.92,2.0,0,79.0,LOW
84.8,68.1,54.6,4.27,4.0,1,27.5,HIGH
73.5,69.4,88.5,6.1,1.1,0,88.6,MEDIUM
100.0,61.0,55.5,7.56,0.5,3,86.0,HIGH
58.9,91.8,94.4,7.88,4.7,0,66.9,LOW
52.1,36.2,65.7,6.85,3.2,0,60.5,HIGH
64.6,50.1,93.9,6.91,4.4,1,73.0,MEDIUM
74.3,63.1,80.2,7.62,4.0,0,100.0,MEDIUM
78.7,35.4,67.9,6.65,2.0,0,29.7,MEDIUM
71.4,61.8,62.2,9.09,3.9,1,80.6,MEDIUM
80.3,94.9,64.9,8.26,1.5,0,46.8,LOW
56.2,65.4,76.4,8.31,6.8,4,64.6,HIGH
96.7,69.2,71.2,5.55,1.3,1,60.0,MEDIUM
73.8,42.3,61.1,6.88,3.6,4,56.4,HIGH
91.8,53.9,67.5,6.55,1.9,0,64.8,MEDIUM
80.1,58.2,71.2,5.49,5.1,0,42.3,MEDIUM
81.9,59.3,38.1,7.54,3.3,3,85.6,HIGH
83.5,88.1,76.9,6.19,3.0,3,29.1,MEDIUM
81.7,75.0,55.3,7.98,5.7,2,75.8,MEDIUM
84.6,45.0,52.7,5.39,4.1,0,58.5,MEDIUM
94.9,69.4,44.7,9.58,5.0,4,41.6,MEDIUM
77.9,74.0,43.1,5.66,2.0,1,69.0,MEDIUM
85.6,85.5,49.7,7.33,1.2,2,33.9,MEDIUM
73.7,93.4,59.4,8.19,4.2,2,65.8,MEDIUM
96.6,46.7,99.3,6.14,3.4,1,36.5,MEDIUM
64.9,50.4,62.1,8.28,5.3,4,74.2,HIGH
100.0,42.4,72.7,5.16,3.8,1,46.5,MEDIUM
74.4,60.8,76.0,9.18,4.4,2,56.0,MEDIUM
53.5,73.4,72.0,7.02,0.8,1,70.9,HIGH
76.9,82.8,68.8,6.11,7.8,2,49.5,MEDIUM
64.8,63.6,52.1,6.55,3.7,0,63.8,MEDIUM
87.6,59.2,91.8,8.21,5.4,0,34.7,LOW
65.2,67.7,97.1,6.12,2.3,4,77.6,HIGH
68.3,50.0,44.8,5.88,4.6,1,100.0,MEDIUM
46.7,100.0,54.6,6.67,1.4,0,100.0,MEDIUM
68.2,36.1,65.8,5.23,4.9,1,,HIGH
38.6,68.3,55.5,9.73,3.3,0,80.8,MEDIUM
51.2,100.0,77.6,6.15,4.1,1,29.4,MEDIUM
86.4,65.1,59.1,8.25,5.4,1,95.1,MEDIUM
86.8,61.6,100.0,7.31,1.5,2,80.5,MEDIUM
81.4,58.6,87.9,5.52,2.6,3,55.3,HIGH
60.5,61.8,73.2,6.99,4.9,0,89.7,MEDIUM
74.3,89.7,85.4,8.18,8.2,1,59.9,MEDIUM
74.9,25.2,86.6,6.72,3.7,0,55.8,MEDIUM
57.6,92.6,61.5,8.79,5.2,0,74.5,MEDIUM
97.6,39.4,57.8,8.53,3.8,0,43.7,MEDIUM
88.2,60.2,71.2,8.38,7.9,1,85.4,MEDIUM
71.7,57.3,82.9,6.31,0.5,2,43.9,HIGH
75.4,75.6,72.1,5.38,4.2,0,44.0,MEDIUM
78.1,36.2,46.3,6.08,0.7,4,46.8,HIGH
44.4,73.3,58.0,7.29,0.0,0,80.2,MEDIUM
71.3,100.0,68.9,7.82,4.6,1,52.7,MEDIUM
64.8,40.5,68.9,3.74,4.3,1,38.0,HIGH
60.0,68.4,99.6,6.99,3.4,3,52.9,MEDIUM
70.8,53.1,49.2,7.24,3.8,0,64.4,MEDIUM
100.0,72.7,77.6,6.58,10.2,0,41.4,LOW
,65.3,92.3,8.94,3.5,0,42.0,LOW
66.4,53.5,100.0,7.63,5.0,0,100.0,MEDIUM
83.6,73.8,63.9,8.97,2.7,1,47.8,MEDIUM
96.0,97.5,77.4,6.68,4.6,0,58.5,LOW
88.9,61.6,78.5,8.41,3.5,0,57.7,MEDIUM
75.9,78.0,72.9,9.45,3.2,1,56.6,MEDIUM
65.3,41.7,68.5,8.97,7.6,0,77.4,MEDIUM
85.5,47.8,76.5,5.36,6.4,2,84.0,MEDIUM
80.9,73.5,32.0,6.62,4.3,0,58.9,MEDIUM
88.4,91.7,80.2,6.48,0.0,4,40.3,HIGH
84.5,71.4,71.9,7.73,3.3,2,90.5,MEDIUM
90.7,59.4,66.7,8.03,9.4,0,63.1,MEDIUM
67.0,65.0,100.0,5.74,3.5,0,99.6,MEDIUM
94.8,42.5,59.9,7.1,6.2,0,20.1,MEDIUM
78.0,75.9,64.0,3.97,6.9,2,68.9,MEDIUM
100.0,80.9,99.9,9.16,4.4,2,100.0,LOW
64.7,56.9,57.5,6.23,2.3,1,57.9,HIGH
100.0,56.5,61.7,7.08,0.0,0,60.5,MEDIUM
78.0,69.8,67.8,6.54,5.4,0,70.9,MEDIUM
65.2,57.1,82.6,8.72,2.4,3,53.8,HIGH
67.7,63.8,73.1,2.74,4.4,0,58.8,MEDIUM
70.2,100.0,50.6,6.98,1.5,1,58.2,MEDIUM
81.4,60.6,62.0,6.84,3.5,0,52.5,MEDIUM
82.8,58.5,60.9,6.32,4.1,4,89.6,HIGH
66.4,53.3,68.8,9.59,4.5,2,74.2,MEDIUM
74.6,78.4,76.4,5.67,1.8,0,70.0,MEDIUM
100.0,61.7,76.3,8.16,6.4,4,81.2,MEDIUM
100.0,53.3,43.4,7.53,2.8,0,59.7,MEDIUM
81.5,88.8,86.0,8.89,0.7,3,49.5,MEDIUM
75.6,90.6,73.8,6.0,3.8,1,52.9,MEDIUM
76.8,54.2,90.8,5.9,4.1,1,65.0,MEDIUM
84.2,31.4,76.7,8.64,4.3,0,43.8,MEDIUM
59.7,83.1,86.5,7.64,6.7,3,55.0,MEDIUM
71.1,52.7,77.0,4.68,3.5,0,54.7,MEDIUM
50.0,79.2,90.2,6.19,3.8,1,100.0,MEDIUM
81.0,29.5,77.8,7.58,1.8,0,9.5,MEDIUM
84.7,81.1,68.5,8.26,5.6,3,61.4,MEDIUM
67.8,43.2,100.0,5.98,4.4,4,99.5,HIGH
98.6,78.2,83.3,2.63,3.2,2,67.4,MEDIUM
56.6,65.3,78.6,7.78,0.2,1,80.1,HIGH
53.0,47.8,50.9,5.17,6.9,0,67.0,MEDIUM
78.4,57.7,50.7,3.97,1.5,0,,MEDIUM
90.7,77.4,74.4,2.75,2.8,0,20.2,MEDIUM
100.0,66.9,72.2,8.22,4.7,1,69.1,MEDIUM
68.1,75.5,60.8,7.19,1.6,1,49.5,MEDIUM
91.2,100.0,72.1,6.66,1.0,0,49.0,LOW
74.4,36.8,93.8,9.08,0.0,0,55.0,MEDIUM
,94.1,80.4,7.96,5.4,0,99.9,LOW
88.3,66.9,52.9,9.42,2.9,1,100.0,MEDIUM
84.8,48.8,68.3,4.91,9.9,0,69.3,MEDIUM
51.4,41.1,57.9,6.95,2.0,2,55.7,HIGH
97.1,61.6,64.2,4.57,2.2,1,41.5,MEDIUM
95.7,81.6,63.8,6.66,2.9,2,74.4,MEDIUM
65.6,62.7,62.8,6.63,4.5,1,100.0,MEDIUM
80.9,92.2,51.2,7.94,3.1,1,60.1,MEDIUM
82.4,38.9,68.1,7.07,5.2,4,,HIGH
78.9,64.8,61.6,7.94,2.0,2,78.4,MEDIUM
66.7,42.5,26.1,8.06,1.2,1,84.7,HIGH
64.9,71.5,100.0,10.0,0.4,0,33.3,MEDIUM
74.6,81.0,86.3,6.53,0.0,1,68.5,MEDIUM
92.6,57.4,64.4,5.59,3.0,1,74.0,MEDIUM
83.2,18.1,70.3,7.37,3.4,0,63.5,MEDIUM
69.4,68.6,52.4,5.8,2.7,1,49.2,HIGH
86.6,72.9,95.4,9.22,6.5,2,85.3,LOW
32.3,72.3,98.5,6.58,6.5,0,56.9,MEDIUM
92.2,87.2,72.4,6.15,3.3,0,,MEDIUM
48.9,45.7,85.4,6.29,0.4,4,24.0,HIGH
69.6,77.2,72.6,8.08,2.9,0,90.2,MEDIUM
58.2,86.5,49.9,6.76,2.8,1,77.3,MEDIUM
55.6,33.0,63.8,6.04,2.7,0,66.8,HIGH
92.4,70.8,72.0,9.5,2.6,1,56.2,MEDIUM
68.0,55.9,63.2,5.72,2.7,0,54.4,HIGH
80.2,63.5,66.7,7.05,3.2,0,43.5,MEDIUM
74.3,71.3,68.6,7.98,2.7,2,56.4,MEDIUM
82.2,56.2,68.8,4.55,4.4,2,22.6,HIGH
76.2,52.8,70.8,7.72,4.7,0,50.3,MEDIUM
55.8,65.6,54.1,5.42,2.2,1,58.8,HIGH
89.9,45.4,59.2,8.23,6.5,0,77.2,MEDIUM
67.6,45.5,50.7,5.56,2.0,2,64.2,HIGH
51.7,77.2,84.7,8.04,0.8,3,80.9,HIGH
68.6,44.3,38.4,8.66,4.8,0,92.0,MEDIUM
97.5,77.0,87.3,8.29,2.4,4,86.2,MEDIUM
87.8,73.3,90.8,7.38,4.6,0,74.4,MEDIUM
69.8,33.9,65.5,6.65,0.0,3,65.2,HIGH
69.8,52.8,31.0,6.14,6.8,3,45.4,HIGH
70.2,86.5,64.6,9.21,5.3,0,79.8,MEDIUM
100.0,47.3,69.0,5.95,1.0,0,98.6,MEDIUM
80.7,56.6,54.8,5.44,1.0,0,71.8,MEDIUM
81.5,73.3,62.3,8.0,7.3,0,100.0,LOW
90.5,79.1,93.0,5.81,2.5,1,34.5,MEDIUM
78.6,60.5,80.0,5.57,2.3,1,41.9,MEDIUM
71.1,54.2,56.1,4.83,0.0,4,82.1,HIGH
72.1,90.6,46.0,6.28,3.3,0,70.3,MEDIUM
73.9,96.3,65.1,6.88,3.5,4,91.3,HIGH
74.4,82.6,66.8,7.36,5.4,4,,HIGH
85.9,66.5,77.4,8.43,1.2,4,47.6,HIGH
75.8,50.5,62.0,7.79,1.0,0,60.7,MEDIUM
86.0,50.1,77.7,6.71,4.9,1,34.3,MEDIUM
73.8,74.4,99.0,6.7,6.0,0,42.4,MEDIUM
76.2,72.5,82.2,7.77,0.9,0,84.4,MEDIUM
45.0,90.2,69.3,8.91,6.2,0,82.5,MEDIUM
88.7,76.7,67.3,7.19,,1,72.3,MEDIUM
80.2,37.9,64.6,6.3,6.2,2,30.6,HIGH
,83.9,87.7,5.51,3.9,0,57.8,LOW
31.6,47.0,60.6,4.83,0.0,2,40.5,HIGH
100.0,58.1,70.7,8.0,3.7,4,,MEDIUM
72.9,69.5,70.8,7.87,6.1,0,53.3,MEDIUM
91.6,100.0,62.5,7.87,2.2,1,43.3,MEDIUM
59.4,100.0,49.4,6.81,3.2,0,65.6,MEDIUM
84.2,75.9,74.8,9.11,3.6,0,52.2,MEDIUM
59.2,61.7,69.1,6.27,0.0,0,94.7,MEDIUM
65.6,74.6,77.5,8.43,7.3,3,50.3,MEDIUM
100.0,81.0,62.0,6.94,2.2,0,37.0,MEDIUM
72.1,59.2,88.3,6.09,5.0,0,21.9,MEDIUM
78.3,97.3,56.8,7.89,3.8,0,64.4,LOW
88.1,69.1,95.7,7.61,6.5,3,53.8,MEDIUM
82.4,74.0,43.8,7.54,4.8,2,36.4,MEDIUM
77.3,77.0,76.5,7.12,3.5,3,88.8,MEDIUM
80.5,72.6,77.1,6.94,2.2,2,78.3,MEDIUM
100.0,80.1,58.1,10.0,5.6,3,64.4,MEDIUM
74.1,53.9,76.4,8.78,0.3,3,92.3,HIGH
78.0,55.0,89.2,8.08,5.3,0,78.3,MEDIUM
90.8,45.2,36.7,7.17,1.8,2,48.5,HIGH
91.6,72.9,77.5,8.51,6.5,0,44.2,LOW
92.8,79.0,32.6,7.78,4.3,1,81.4,MEDIUM
84.6,73.2,55.5,7.04,5.3,0,72.9,MEDIUM
57.9,95.1,94.4,6.54,4.2,0,68.4,MEDIUM
99.5,64.9,61.3,6.88,0.5,1,48.1,MEDIUM
57.8,77.0,52.4,2.24,2.3,1,77.2,HIGH
79.5,45.3,67.0,7.32,5.3,0,49.9,MEDIUM
63.7,58.0,100.0,6.27,4.3,0,63.0,MEDIUM
74.0,77.5,42.5,9.39,6.4,4,93.9,HIGH
79.9,80.3,54.2,7.03,4.8,0,51.8,MEDIUM
79.8,59.7,92.5,5.22,2.1,3,33.5,HIGH
81.3,63.7,97.9,6.93,2.4,3,,MEDIUM
99.2,37.7,68.4,5.43,4.2,1,84.9,MEDIUM
81.8,58.6,51.4,7.71,0.0,0,70.1,MEDIUM
71.3,81.0,100.0,7.44,7.3,2,62.4,MEDIUM
89.5,75.4,93.9,8.44,4.9,0,54.8,LOW
92.8,74.0,80.2,5.81,6.5,4,74.7,MEDIUM
56.6,65.9,57.8,7.05,0.8,0,48.0,MEDIUM
84.0,65.1,69.3,4.95,6.5,0,71.1,MEDIUM
85.5,53.1,67.6,8.05,8.5,0,50.4,MEDIUM
70.5,77.6,75.0,7.78,1.4,1,47.0,MEDIUM
95.6,72.6,91.8,7.74,5.5,4,52.3,MEDIUM
72.7,73.9,83.2,7.0,4.0,0,57.5,MEDIUM
76.9,55.5,53.8,7.62,0.9,3,64.0,HIGH
72.4,26.2,90.6,9.41,5.0,3,69.7,HIGH
75.2,84.7,74.7,6.57,5.7,4,0.0,HIGH
58.6,56.4,80.3,7.21,2.8,0,48.8,MEDIUM
53.4,49.5,92.0,5.37,6.3,0,57.2,MEDIUM
98.9,77.5,53.3,5.7,0.7,0,95.1,MEDIUM
62.3,57.9,69.5,7.15,1.0,1,43.4,HIGH
60.1,84.1,62.0,8.66,4.3,1,68.3,MEDIUM
42.7,76.1,46.5,6.62,4.1,0,94.9,MEDIUM
65.4,77.3,75.2,6.65,2.6,4,38.7,HIGH
55.2,40.4,100.0,6.39,5.6,1,72.9,MEDIUM
99.6,86.8,42.4,6.2,5.1,0,49.0,MEDIUM
90.1,69.7,69.5,7.44,5.7,4,54.9,MEDIUM
64.7,58.4,79.6,4.75,3.8,3,48.9,HIGH
,67.6,71.8,8.92,5.2,0,50.4,LOW
89.7,33.0,68.3,6.0,3.1,1,100.0,MEDIUM
70.1,72.4,50.5,8.08,8.1,1,81.9,MEDIUM
37.5,46.5,73.5,5.1,2.4,0,87.0,HIGH
100.0,40.7,58.6,8.0,8.2,1,74.8,MEDIUM
54.2,37.6,37.2,8.01,4.1,0,32.9,HIGH
50.3,85.0,87.9,7.58,1.2,3,72.9,HIGH
90.3,53.7,84.4,5.51,6.7,1,86.5,MEDIUM
100.0,92.6,70.8,7.37,4.3,2,47.9,MEDIUM
95.8,55.4,73.4,5.23,5.7,0,84.3,MEDIUM
83.5,34.3,86.1,6.62,6.4,0,79.1,MEDIUM
83.9,44.9,73.4,8.54,4.7,1,100.0,MEDIUM
87.8,87.2,83.6,8.2,2.8,0,56.6,LOW
86.4,62.2,65.5,7.02,6.0,2,43.0,MEDIUM
79.2,55.1,89.7,5.54,4.0,0,57.8,MEDIUM
76.6,67.9,74.8,7.97,5.4,0,93.7,LOW
74.1,74.0,72.9,7.03,0.0,2,28.4,MEDIUM
63.7,85.1,50.9,3.52,4.9,4,23.6,HIGH
70.8,91.1,74.3,8.17,2.7,4,66.8,MEDIUM
49.6,58.5,57.5,6.96,7.3,4,56.1,HIGH
73.5,41.1,60.4,8.8,5.2,1,65.2,MEDIUM
60.2,57.6,57.8,5.36,4.5,1,83.9,HIGH
58.4,69.7,54.0,2.23,5.0,4,53.9,HIGH
77.7,47.7,100.0,7.42,2.0,4,27.5,HIGH
95.9,47.8,90.0,7.44,7.2,4,100.0,MEDIUM
88.8,71.2,98.8,4.46,8.0,0,45.1,MEDIUM
51.4,64.1,51.7,5.53,,4,43.8,HIGH
60.2,65.6,71.1,10.0,7.2,2,87.1,MEDIUM
89.1,51.3,50.6,6.54,2.9,0,57.3,MEDIUM
60.3,60.9,59.6,8.1,2.4,0,63.7,MEDIUM
71.6,48.4,56.2,6.02,4.1,0,74.7,HIGH
83.3,81.0,88.6,3.86,4.9,0,86.7,MEDIUM
60.5,83.6,64.1,6.74,3.2,1,58.3,MEDIUM
76.6,31.8,86.0,6.6,5.1,1,95.4,MEDIUM
55.0,48.3,79.1,6.4,4.6,0,22.3,MEDIUM
66.0,38.1,100.0,6.83,2.0,1,80.2,HIGH
79.8,53.3,47.8,7.4,,0,48.2,MEDIUM
51.1,63.5,88.9,6.77,5.7,2,92.4,MEDIUM
81.6,38.9,87.2,5.1,4.3,0,67.8,MEDIUM
74.7,48.4,55.4,7.73,6.3,4,51.5,HIGH
83.3,46.9,85.1,4.08,1.6,0,78.3,MEDIUM
78.4,68.7,75.0,3.92,4.9,3,82.9,HIGH
95.5,66.2,66.6,8.11,1.7,0,77.8,LOW
